Customer_ID,Age,Gender,Region,Tenure_Months,Subscription_Type,Monthly_Spend,Support_Tickets,Churn_Flag,Signup_Date,Annual_Spend,Signup_Year,Tenure_Group,Spend_Group
C000057,25,Female,Central,6,Premium,92.32,2,0,15-04-2021,1107.84,2021,0-6 mo,Q4 high
C000058,45,Male,North,116,Premium,58.9,3,0,30-09-2019,706.8,2019,5-10 yr,Q4 high
C000059,32,Male,South,74,Basic,19.14,2,0,15-01-2022,229.68,2022,5-10 yr,Q2
C000060,30,Male,West,41,Premium,79.77,1,0,25-03-2023,957.24,2023,2-5 yr,Q4 high
C000061,35,Male,West,112,Standard,16.42,1,0,07-11-2020,197.04,2020,5-10 yr,Q2
C000062,30,Male,Central,59,Standard,34.85,2,0,22-09-2023,418.2,2023,2-5 yr,Q3
C000063,55,Female,East,8,Basic,13.66,2,0,09-06-2020,163.92,2020,6-12 mo,Q1 low
C000064,21,Male,North,54,Premium,39.81,1,0,08-01-2023,477.72,2023,2-5 yr,Q3
C000065,42,Female,North,40,Standard,28.05,2,1,23-02-2020,336.6,2020,2-5 yr,Q3
C000066,34,Female,Central,80,Basic,12.75,0,0,24-06-2024,153,2024,5-10 yr,Q1 low
C000067,40,Female,North,30,Premium,44.35,2,0,25-12-2020,532.2,2020,2-5 yr,Q3
C000068,27,Male,East,104,Standard,30.55,0,0,29-04-2020,366.6,2020,5-10 yr,Q3
C000069,19,Female,North,67,Premium,79.77,3,1,10-10-2021,957.24,2021,5-10 yr,Q4 high
C000070,33,Female,East,71,Basic,15.47,1,0,14-11-2023,185.64,2023,5-10 yr,Q1 low
C000071,18,Male,Central,39,Basic,7.9,0,0,26-05-2023,94.8,2023,2-5 yr,Q1 low
C000072,40,Male,Central,23,Enterprise,109.41,2,0,25-07-2022,1312.92,2022,1-2 yr,Q4 high
C000073,36,Male,South,82,Standard,24.7,0,0,15-10-2021,296.4,2021,5-10 yr,Q2
C000074,40,Male,North,75,Standard,29.39,0,0,04-12-2020,352.68,2020,5-10 yr,Q3
C000075,44,Female,East,86,Standard,33.08,1,0,01-11-2023,396.96,2023,5-10 yr,Q3
C000076,25,Male,Central,49,Standard,22.2,0,0,17-07-2021,266.4,2021,2-5 yr,Q2
C000077,31,Male,South,101,Premium,82.67,0,0,19-01-2019,992.04,2019,5-10 yr,Q4 high
C000078,25,Female,Central,52,Standard,23.4,0,1,30-07-2021,280.8,2021,2-5 yr,Q2
C000079,39,Female,South,40,Basic,12.65,1,1,29-10-2024,151.8,2024,2-5 yr,Q1 low
C000080,32,Male,South,50,Premium,96,2,0,18-11-2020,1152,2020,2-5 yr,Q4 high
C000081,41,Female,South,99,Basic,9.6,3,0,13-01-2019,115.2,2019,5-10 yr,Q1 low
C000082,33,Male,Central,93,Standard,20.93,0,0,19-05-2020,251.16,2020,5-10 yr,Q2
C000083,22,Male,East,38,Standard,31.13,0,0,12-09-2023,373.56,2023,2-5 yr,Q3
C000084,37,Female,East,77,Standard,32.17,1,1,18-09-2024,386.04,2024,5-10 yr,Q3
C000085,27,Female,West,38,Premium,47.83,1,1,04-08-2023,573.96,2023,2-5 yr,Q3
C000086,50,Male,North,40,Basic,13.89,1,0,16-05-2025,166.68,2025,2-5 yr,Q1 low
C000087,28,Female,North,76,Standard,18.25,2,1,10-08-2021,219,2021,5-10 yr,Q2
C000088,28,Male,East,19,Basic,7.29,1,1,20-08-2021,87.48,2021,1-2 yr,Q1 low
C000089,59,Male,South,5,Basic,19.42,0,1,02-11-2022,233.04,2022,0-6 mo,Q2
C000090,40,Female,West,26,Premium,50.61,0,0,27-04-2024,607.32,2024,2-5 yr,Q4 high
C000091,40,Male,North,38,Standard,35.41,0,1,02-05-2023,424.92,2023,2-5 yr,Q3
C000092,35,Female,West,101,Standard,39.19,3,0,30-12-2020,470.28,2020,5-10 yr,Q3
C000093,36,Male,West,91,Basic,14.77,1,0,15-05-2025,177.24,2025,5-10 yr,Q1 low
C000094,36,Male,East,71,Basic,11.36,1,0,01-07-2023,136.32,2023,5-10 yr,Q1 low
C000095,50,Female,North,45,Basic,9.51,1,0,20-02-2024,114.12,2024,2-5 yr,Q1 low
C000096,51,Male,Central,19,Enterprise,193.2,2,0,26-07-2022,2318.4,2022,1-2 yr,Q4 high
C000097,46,Female,East,36,Premium,58.07,0,0,05-01-2019,696.84,2019,2-5 yr,Q4 high
C000098,47,Male,East,86,Standard,36.33,2,0,11-01-2019,435.96,2019,5-10 yr,Q3
C000099,43,Female,Central,52,Standard,18.09,0,0,07-11-2024,217.08,2024,2-5 yr,Q2
C000100,18,Female,West,2,Basic,8.49,1,1,02-12-2024,101.88,2024,0-6 mo,Q1 low
C000101,30,Female,West,50,Basic,15.95,1,1,09-11-2024,191.4,2024,2-5 yr,Q2
C000102,57,Male,East,19,Standard,17.79,1,0,01-06-2024,213.48,2024,1-2 yr,Q2
C000103,18,Female,West,19,Standard,20.29,1,0,03-06-2020,243.48,2020,1-2 yr,Q2
C000104,44,Non-binary,Central,108,Basic,7.53,0,0,29-07-2019,90.36,2019,5-10 yr,Q1 low
C000105,40,Female,Central,27,Standard,18.86,1,0,20-11-2023,226.32,2023,2-5 yr,Q2
C000106,51,Female,West,48,Basic,7.69,2,0,31-08-2023,92.28,2023,2-5 yr,Q1 low
C000107,56,Female,North,60,Standard,33.83,1,0,22-04-2022,405.96,2022,2-5 yr,Q3
C000108,35,Male,South,8,Standard,17.51,0,1,08-03-2019,210.12,2019,6-12 mo,Q2
C000109,26,Female,South,24,Standard,27.78,1,0,27-02-2025,333.36,2025,1-2 yr,Q3
C000110,46,Male,West,112,Standard,33.74,0,0,27-11-2022,404.88,2022,5-10 yr,Q3
C000111,43,Male,East,95,Standard,38.31,1,0,02-07-2023,459.72,2023,5-10 yr,Q3
C000112,24,Male,East,52,Basic,10.6,1,0,27-12-2022,127.2,2022,2-5 yr,Q1 low
C000113,33,Female,South,16,Basic,5.62,1,0,05-12-2020,67.44,2020,1-2 yr,Q1 low
C000114,32,Male,East,42,Standard,17.46,1,0,15-12-2019,209.52,2019,2-5 yr,Q2
C000115,35,Female,East,27,Basic,17.47,2,0,12-02-2025,209.64,2025,2-5 yr,Q2
C000116,44,Female,North,23,Premium,94.2,1,0,02-10-2021,1130.4,2021,1-2 yr,Q4 high
C000117,41,Female,West,96,Premium,93.64,2,0,06-01-2021,1123.68,2021,5-10 yr,Q4 high
C000118,47,Male,Central,41,Standard,15.53,0,0,09-04-2024,186.36,2024,2-5 yr,Q1 low
C000119,44,Female,South,66,Basic,11.37,2,0,05-01-2021,136.44,2021,5-10 yr,Q1 low
C000120,58,Female,West,111,Basic,18.66,0,,27-04-2020,223.92,2020,5-10 yr,Q2
C000121,42,Male,East,97,Premium,53.35,2,0,25-03-2024,640.2,2024,5-10 yr,Q4 high
C000122,19,Male,North,30,Premium,95.12,1,0,15-02-2020,1141.44,2020,2-5 yr,Q4 high
C000123,25,Female,East,52,Basic,7.37,1,0,14-08-2025,88.44,2025,2-5 yr,Q1 low
C000124,29,Male,West,102,Standard,22.29,2,0,10-07-2025,267.48,2025,5-10 yr,Q2
C000125,35,Male,North,16,Standard,23.87,0,0,02-07-2019,286.44,2019,1-2 yr,Q2
C000126,28,Female,South,68,Standard,21.14,2,0,24-09-2023,253.68,2023,5-10 yr,Q2
C000127,37,Non-binary,North,69,Premium,63.27,1,0,09-08-2023,759.24,2023,5-10 yr,Q4 high
C000128,34,Female,North,15,Standard,20.65,1,0,05-04-2020,247.8,2020,1-2 yr,Q2
C000129,34,Male,West,80,Standard,27.17,1,0,05-12-2023,326.04,2023,5-10 yr,Q3
C000130,27,Male,Central,2,Basic,12.93,2,1,03-11-2019,155.16,2019,0-6 mo,Q1 low
C000131,30,Male,North,47,Premium,96.51,1,1,31-01-2019,1158.12,2019,2-5 yr,Q4 high
C000132,35,Female,North,79,Premium,89.45,0,0,19-06-2024,1073.4,2024,5-10 yr,Q4 high
C000133,35,Female,East,101,Premium,97.9,2,1,18-01-2019,1174.8,2019,5-10 yr,Q4 high
C000134,18,Female,Central,4,Basic,11.9,0,0,29-05-2019,142.8,2019,0-6 mo,Q1 low
C000135,44,Male,East,41,Standard,38.6,3,0,15-01-2021,463.2,2021,2-5 yr,Q3
C000136,43,Male,West,90,Basic,10.55,0,0,14-03-2023,126.6,2023,5-10 yr,Q1 low
C000137,36,Male,East,91,Basic,17.23,1,0,05-11-2021,206.76,2021,5-10 yr,Q2
C000138,31,Female,Central,41,Premium,81.62,2,0,28-02-2025,979.44,2025,2-5 yr,Q4 high
C000139,39,Unknown,Unknown,120,Unknown,16.26,1,0,20-03-2019,195.12,2019,5-10 yr,Q2
C000140,40,Female,North,40,Premium,73.57,2,0,17-01-2022,882.84,2022,2-5 yr,Q4 high
C000141,28,Male,West,5,Standard,20.79,2,0,24-08-2020,249.48,2020,0-6 mo,Q2
C000142,54,Unknown,North,65,Basic,5.98,3,0,21-10-2020,71.76,2020,5-10 yr,Q1 low
C000143,49,Male,North,81,Premium,70.42,3,0,26-07-2023,845.04,2023,5-10 yr,Q4 high
C000144,20,Female,North,97,Premium,62.92,3,0,07-06-2025,755.04,2025,5-10 yr,Q4 high
C000145,43,Female,South,15,Standard,19.39,2,0,09-03-2020,232.68,2020,1-2 yr,Q2
C000146,18,Male,East,108,Standard,23.9,2,1,18-03-2024,286.8,2024,5-10 yr,Q2
C000147,18,Female,East,63,Basic,9.82,1,0,29-03-2020,117.84,2020,5-10 yr,Q1 low
C000148,25,Male,North,79,Standard,15.88,0,0,30-08-2024,190.56,2024,5-10 yr,Q2
C000149,20,Male,South,60,Standard,28.04,1,0,01-02-2020,336.48,2020,2-5 yr,Q3
C000150,41,Male,South,59,Basic,5.77,1,1,31-08-2022,69.24,2022,2-5 yr,Q1 low
C000151,38,Male,West,97,Basic,13.62,0,1,13-06-2022,163.44,2022,5-10 yr,Q1 low
C000152,32,Non-binary,South,86,Premium,50.6,0,0,16-04-2024,607.2,2024,5-10 yr,Q4 high
C000153,44,Female,South,63,Basic,12.46,3,0,26-06-2024,149.52,2024,5-10 yr,Q1 low
C000154,28,Male,South,97,Basic,18.23,0,1,04-01-2022,218.76,2022,5-10 yr,Q2
C000155,46,Male,South,117,Standard,34.26,0,0,18-10-2021,411.12,2021,5-10 yr,Q3
C000156,49,Male,Central,76,Premium,56.18,0,0,07-08-2025,674.16,2025,5-10 yr,Q4 high
C000157,58,Male,Central,84,Basic,9.75,0,0,18-05-2021,117,2021,5-10 yr,Q1 low
C000158,35,Male,West,58,Standard,29.44,3,0,01-12-2024,353.28,2024,2-5 yr,Q3
C000159,39,Male,North,97,Basic,6.89,2,0,16-04-2024,82.68,2024,5-10 yr,Q1 low
C000160,44,Male,North,105,Standard,38.41,1,0,22-09-2024,460.92,2024,5-10 yr,Q3
C000161,43,Male,West,35,Basic,18.35,1,0,26-08-2021,220.2,2021,2-5 yr,Q2
C000162,33,Female,East,86,Standard,26.94,2,0,22-02-2024,323.28,2024,5-10 yr,Q3
C000163,43,Female,North,97,Premium,93.55,0,0,15-12-2023,1122.6,2023,5-10 yr,Q4 high
C000164,56,Female,Central,119,Standard,17.28,2,1,16-04-2023,207.36,2023,5-10 yr,Q2
C000165,29,Female,Central,73,Premium,50.55,0,0,06-06-2021,606.6,2021,5-10 yr,Q4 high
C000166,36,Male,Central,102,Enterprise,216.86,1,0,04-03-2021,2602.32,2021,5-10 yr,Q4 high
C000167,18,Male,West,89,Premium,63.77,1,0,08-07-2021,765.24,2021,5-10 yr,Q4 high
C000168,51,Male,East,71,Premium,58.99,0,0,17-06-2024,707.88,2024,5-10 yr,Q4 high
C000169,38,Female,West,42,Premium,90.35,5,0,20-03-2019,1084.2,2019,2-5 yr,Q4 high
C000170,18,Male,North,14,Standard,39.2,1,0,06-09-2024,470.4,2024,1-2 yr,Q3
C000171,43,Male,Central,85,Basic,7.66,0,0,07-01-2023,91.92,2023,5-10 yr,Q1 low
C000172,59,Male,East,103,Standard,20.84,1,0,13-02-2024,250.08,2024,5-10 yr,Q2
C000173,42,Female,South,117,Basic,11.11,2,0,16-11-2019,133.32,2019,5-10 yr,Q1 low
C000174,37,Male,Central,79,Premium,53.03,1,0,28-12-2020,636.36,2020,5-10 yr,Q4 high
C000175,39,Male,South,20,Standard,18.89,0,0,13-09-2019,226.68,2019,1-2 yr,Q2
C000176,35,Female,North,23,Basic,14.57,0,0,10-03-2021,174.84,2021,1-2 yr,Q1 low
C000177,35,Female,East,81,Basic,8.92,0,1,14-12-2023,107.04,2023,5-10 yr,Q1 low
C000178,41,Male,East,69,Standard,39.76,0,1,09-12-2022,477.12,2022,5-10 yr,Q3
C000179,44,Female,West,77,Premium,57.12,2,0,15-07-2025,685.44,2025,5-10 yr,Q4 high
C000180,37,Male,West,8,Standard,24.06,0,0,23-12-2022,288.72,2022,6-12 mo,Q2
C000181,34,Female,West,62,Premium,87.91,2,0,19-05-2019,1054.92,2019,5-10 yr,Q4 high
C000182,42,Female,East,52,Standard,39.47,1,0,28-03-2024,473.64,2024,2-5 yr,Q3
C000183,40,Female,Central,87,Standard,37.6,2,0,28-09-2021,451.2,2021,5-10 yr,Q3
C000184,36,Prefer not to say,East,114,Standard,18.6,1,1,25-09-2023,223.2,2023,5-10 yr,Q2
C000185,24,Male,Central,119,Standard,37.42,1,,08-12-2024,449.04,2024,5-10 yr,Q3
C000186,39,Female,North,69,Basic,17.96,2,0,27-07-2022,215.52,2022,5-10 yr,Q2
C000187,49,Male,North,14,Enterprise,246.87,2,0,29-10-2019,2962.44,2019,1-2 yr,Q4 high
C000188,26,Male,West,31,Premium,79.05,1,1,05-05-2021,948.6,2021,2-5 yr,Q4 high
C000189,20,Male,East,115,Standard,31.92,1,0,16-04-2022,383.04,2022,5-10 yr,Q3
C000190,30,Female,North,38,Basic,5.43,0,0,25-12-2023,65.16,2023,2-5 yr,Q1 low
C000191,52,Female,West,51,Basic,13.35,1,0,05-10-2023,160.2,2023,2-5 yr,Q1 low
C000192,30,Female,West,63,Basic,14.02,2,0,26-01-2024,168.24,2024,5-10 yr,Q1 low
C000193,18,Female,East,4,Basic,12.82,2,0,25-10-2021,153.84,2021,0-6 mo,Q1 low
C000194,31,Female,South,105,Standard,15.96,1,0,02-02-2020,191.52,2020,5-10 yr,Q2
C000195,47,Female,Central,108,Premium,42.49,0,0,09-04-2019,509.88,2019,5-10 yr,Q3
C000196,39,Female,South,62,Standard,20.06,3,0,06-04-2021,240.72,2021,5-10 yr,Q2
C000197,43,Female,Central,117,Premium,46.33,1,1,30-01-2020,555.96,2020,5-10 yr,Q3
C000198,42,Male,North,108,Premium,75.08,1,0,23-02-2020,900.96,2020,5-10 yr,Q4 high
C000199,47,Male,East,68,Standard,37.61,1,1,12-11-2019,451.32,2019,5-10 yr,Q3
C000200,41,Female,West,61,Enterprise,178.44,1,0,08-05-2023,2141.28,2023,5-10 yr,Q4 high
C000201,21,Female,South,111,Standard,37.61,1,0,12-10-2022,451.32,2022,5-10 yr,Q3
C000202,26,Male,East,18,Premium,96.1,0,0,20-04-2021,1153.2,2021,1-2 yr,Q4 high
C000203,36,Female,South,98,Standard,22.68,1,0,11-09-2019,272.16,2019,5-10 yr,Q2
C000204,35,Female,West,55,Premium,36.59,0,0,18-05-2025,439.08,2025,2-5 yr,Q3
C000205,21,Male,South,97,Standard,38.71,1,0,20-02-2022,464.52,2022,5-10 yr,Q3
C000206,32,Male,North,59,Basic,8.18,1,0,27-09-2020,98.16,2020,2-5 yr,Q1 low
C000207,40,Male,North,46,Basic,7.21,1,0,20-04-2019,86.52,2019,2-5 yr,Q1 low
C000208,18,Male,Central,81,Basic,19.7,0,0,15-11-2022,236.4,2022,5-10 yr,Q2
C000209,31,Male,South,16,Standard,30.05,2,0,02-07-2019,360.6,2019,1-2 yr,Q3
C000210,25,Male,East,41,Premium,50.51,0,0,24-10-2019,606.12,2019,2-5 yr,Q4 high
C000211,30,Female,East,27,Premium,78.52,3,1,30-04-2021,942.24,2021,2-5 yr,Q4 high
C000212,43,Female,West,50,Basic,18.4,0,0,14-08-2022,220.8,2022,2-5 yr,Q2
C000213,37,Female,North,65,Basic,14.09,0,1,12-08-2021,169.08,2021,5-10 yr,Q1 low
C000214,36,Male,Central,66,Basic,14.6,3,0,12-10-2019,175.2,2019,5-10 yr,Q1 low
C000215,37,Male,North,87,Standard,22.19,3,1,10-04-2020,266.28,2020,5-10 yr,Q2
C000216,48,Male,North,20,Premium,99.1,2,0,20-03-2019,1189.2,2019,1-2 yr,Q4 high
C000217,44,Male,East,1,Standard,37.8,1,0,12-02-2022,453.6,2022,0-6 mo,Q3
C000218,41,Female,East,17,Basic,18.69,1,0,28-05-2019,224.28,2019,1-2 yr,Q2
C000219,36,Male,Central,76,Premium,40.57,2,0,08-01-2022,486.84,2022,5-10 yr,Q3
C000220,40,Female,North,60,Premium,43.37,0,0,11-01-2019,520.44,2019,2-5 yr,Q3
C000221,34,Male,Central,105,Standard,21.77,0,1,10-07-2023,261.24,2023,5-10 yr,Q2
C000222,43,Male,East,47,Basic,17.89,3,0,12-08-2021,214.68,2021,2-5 yr,Q2
C000223,34,Female,North,94,Standard,21.55,1,0,27-04-2021,258.6,2021,5-10 yr,Q2
C000224,31,Female,North,80,Basic,10.19,2,0,27-12-2020,122.28,2020,5-10 yr,Q1 low
C000225,47,Female,South,92,Standard,32.91,0,1,09-11-2022,394.92,2022,5-10 yr,Q3
C000226,38,Female,South,114,Standard,21.94,0,0,11-08-2023,263.28,2023,5-10 yr,Q2
C000227,38,Female,South,20,Basic,9.58,2,1,05-11-2021,114.96,2021,1-2 yr,Q1 low
C000228,33,Male,East,8,Basic,8.79,1,0,08-04-2019,105.48,2019,6-12 mo,Q1 low
C000229,19,Female,East,72,Premium,46.04,0,1,16-10-2019,552.48,2019,5-10 yr,Q3
C000230,27,Female,West,84,Standard,34.08,1,0,03-03-2021,408.96,2021,5-10 yr,Q3
C000231,30,Male,North,1,Basic,19.36,0,0,06-09-2024,232.32,2024,0-6 mo,Q2
C000232,40,Male,West,66,Standard,16.05,1,0,23-05-2023,192.6,2023,5-10 yr,Q2
C000233,46,Male,Central,6,Basic,10.75,0,0,28-08-2023,129,2023,0-6 mo,Q1 low
C000234,28,Female,North,108,Basic,16.01,3,0,25-10-2022,192.12,2022,5-10 yr,Q2
C000235,37,Male,Central,24,Premium,44.01,1,0,25-08-2021,528.12,2021,1-2 yr,Q3
C000236,19,Male,North,48,Basic,10.38,1,0,09-11-2023,124.56,2023,2-5 yr,Q1 low
C000237,23,Male,West,54,Premium,36.69,1,0,24-08-2024,440.28,2024,2-5 yr,Q3
C000238,45,Male,East,27,Standard,21,2,0,05-06-2019,252,2019,2-5 yr,Q2
C000239,30,Male,North,25,Premium,46.35,0,0,18-10-2022,556.2,2022,2-5 yr,Q3
C000240,31,Male,Central,38,Standard,20.71,0,0,19-07-2025,248.52,2025,2-5 yr,Q2
C000241,22,Female,North,97,Enterprise,225.42,1,0,04-08-2025,2705.04,2025,5-10 yr,Q4 high
C000242,53,Female,East,15,Standard,29.07,0,0,28-09-2024,348.84,2024,1-2 yr,Q3
C000243,35,Female,North,97,Basic,16.49,1,0,02-08-2021,197.88,2021,5-10 yr,Q2
C000244,32,Male,West,102,Premium,67.09,3,0,10-01-2019,805.08,2019,5-10 yr,Q4 high
C000245,32,Female,East,77,Premium,85.47,4,0,28-07-2021,1025.64,2021,5-10 yr,Q4 high
C000246,27,Female,East,97,Standard,24.05,2,0,19-11-2022,288.6,2022,5-10 yr,Q2
C000247,34,Female,Central,27,Premium,42.92,1,1,16-05-2019,515.04,2019,2-5 yr,Q3
C000248,34,Male,North,2,Premium,94.76,0,0,10-04-2021,1137.12,2021,0-6 mo,Q4 high
C000249,18,Male,North,100,Basic,16.58,0,0,29-07-2021,198.96,2021,5-10 yr,Q2
C000250,33,Female,Central,50,Basic,10.46,0,0,20-09-2020,125.52,2020,2-5 yr,Q1 low
C000251,35,Non-binary,Central,105,Basic,5.13,2,0,06-03-2023,61.56,2023,5-10 yr,Q1 low
C000252,45,Female,South,33,Standard,19.74,0,0,23-10-2021,236.88,2021,2-5 yr,Q2
C000253,22,Female,West,66,Standard,21.51,1,0,19-09-2021,258.12,2021,5-10 yr,Q2
C000254,35,Male,Central,106,Premium,90.28,2,0,27-11-2020,1083.36,2020,5-10 yr,Q4 high
C000255,22,Female,North,27,Standard,18.04,2,0,30-08-2019,216.48,2019,2-5 yr,Q2
C000256,30,Female,Central,117,Standard,22.74,3,1,11-02-2020,272.88,2020,5-10 yr,Q2
C000257,37,Male,North,62,Standard,20.04,1,1,12-01-2019,240.48,2019,5-10 yr,Q2
C000258,35,Male,Central,108,Standard,19.82,0,0,31-12-2022,237.84,2022,5-10 yr,Q2
C000259,35,Male,North,113,Basic,6.42,4,1,29-09-2021,77.04,2021,5-10 yr,Q1 low
C000260,23,Female,West,23,Enterprise,190.96,0,0,10-02-2020,2291.52,2020,1-2 yr,Q4 high
C000261,32,Male,Central,3,Standard,37.81,3,1,03-12-2019,453.72,2019,0-6 mo,Q3
C000262,25,Female,North,45,Premium,67.11,1,0,02-09-2024,805.32,2024,2-5 yr,Q4 high
C000263,47,Female,North,18,Standard,15.89,5,1,25-06-2022,190.68,2022,1-2 yr,Q2
C000264,35,Female,Central,99,Standard,20.91,2,0,20-12-2019,250.92,2019,5-10 yr,Q2
C000265,41,Male,West,1,Basic,5.19,1,0,07-01-2021,62.28,2021,0-6 mo,Q1 low
C000266,18,Male,North,90,Basic,6.64,2,0,22-06-2024,79.68,2024,5-10 yr,Q1 low
C000267,31,Male,North,75,Standard,35.55,1,0,17-03-2022,426.6,2022,5-10 yr,Q3
C000268,38,Female,East,2,Premium,80.22,2,0,10-08-2020,962.64,2020,0-6 mo,Q4 high
C000269,39,Female,West,41,Premium,56.65,2,0,19-10-2020,679.8,2020,2-5 yr,Q4 high
