Customer_ID,Churn_Flag,Exit_Reason_Text
C073944,1,"training resources were generic and not role specific Additionally, initial setup was complicated and poorly documented the ROI for our team was unclear and hard to measure Additionally, pricing felt too high for the features I actually used Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C013676,1,"friends recommended another tool with simpler workflows Additionally, it took weeks before we were confident with the basics the value for money did not feel right after the first few months Additionally, reports took too long to generate for leadership meetings reports took too long to generate for leadership meetings Additionally, key features were missing for my workflow and team Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C080491,0,"  account migration from our old system had errors Additionally, we got a bundled offer that included priority support the interface felt cluttered and confusing for new users Additionally, I needed proactive guidance but only received scripted replies Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay. 😕   "
C061314,1,"the ROI for our team was unclear and hard to measure Additionally, downtimes happened right before our deliverables discounts were inconsistent and the renewal price surprised me Additionally, downtimes happened right before our deliverables Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C051099,1,"reports took too long to generate for leadership meetings Additionally, pricing felt too high for the features I actually used key features were missing for my workflow and team Additionally, training resources were generic and not role specific Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
XC059941,1,"mobile experience was unreliable and often crashed Additionally, integrations with other tools were limited and brittle pricing felt too high for the features I actually used Additionally, page load times increased significantly during peak hours we used only a small subset of the product capabilities Additionally, initial setup was complicated and poorly documented Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C083431,1,"it took weeks before we were confident with the basics Additionally, page load times increased significantly during peak hours they had a more flexible contract and transparent billing Additionally, support response times were slow during critical issues Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C064398,0,"account migration from our old system had errors Additionally, a competitor offered better analytics and clean dashboards page load times increased significantly during peak hours Additionally, a competitor offered better analytics and clean dashboards Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C054901,1,reports took too long to
C022895,0,"handoffs between agents made me repeat the same details Additionally, we got a bundled offer that included priority support it took weeks before we were confident with the basics Additionally, it took weeks before we were confident with the basics Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C002740,1,"pricing felt too high for the features I actually used Additionally, reports took too long to generate for leadership meetings mobile experience was unreliable and often crashed Additionally, they had a more flexible contract and transparent billing Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C083323,1,integrations with other tools
C055575,1,"handoffs between agents made me repeat the same details Additionally, reports took too long to generate for leadership meetings friends recommended another tool with simpler workflows Additionally, it took weeks before we were confident with the basics Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C048078,1,"friends recommended another tool with simpler workflows Additionally, handoffs between agents made me repeat the same details it took weeks before we were confident with the basics Additionally, competitors offered a similar plan at a lower monthly rate we used only a small subset of the product capabilities Additionally, they had a more flexible contract and transparent billing Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C078900,1,"page load times increased significantly during peak hours Additionally, discounts were inconsistent and the renewal price surprised me support response times were slow during critical issues Additionally, downtimes happened right before our deliverables Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C084318,Yes,"we used only a small subset of the product capabilities Additionally, downtimes happened right before our deliverables the interface felt cluttered and confusing for new users Additionally, friends recommended another tool with simpler workflows Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C092863,1,"training resources were generic and not role specific Additionally, reports took too long to generate for leadership meetings I needed proactive guidance but only received scripted replies Additionally, I needed proactive guidance but only received scripted replies Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C034331,Yes,"page load times increased significantly during peak hours Additionally, training resources were generic and not role specific support response times were slow during critical issues Additionally, the interface felt cluttered and confusing for new users Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C035049,0,"we used only a small subset of the product capabilities Additionally, discounts were inconsistent and the renewal price surprised me we got a bundled offer that included priority support Additionally, training resources were generic and not role specific initial setup was complicated and poorly documented Additionally, account migration from our old system had errors Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C079504,1,"friends recommended another tool with simpler workflows Additionally, competitors offered a similar plan at a lower monthly rate I needed proactive guidance but only received scripted replies Additionally, we got a bundled offer that included priority support we could not secure budget for the next cycle Additionally, they had a more flexible contract and transparent billing Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C045696,1,"we could not secure budget for the next cycle Additionally, downtimes happened right before our deliverables key features were missing for my workflow and team Additionally, the value for money did not feel right after the first few months Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C014297,1,"mobile experience was unreliable and often crashed Additionally, after piloting, the outcomes did not justify the cost handoffs between agents made me repeat the same details Additionally, account migration from our old system had errors Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C033014,No,"I needed proactive guidance but only received scripted replies Additionally, the interface felt cluttered and confusing for new users they had a more flexible contract and transparent billing Additionally, initial setup was complicated and poorly documented Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C029901,1,"it took weeks before we were confident with the basics Additionally, they had a more flexible contract and transparent billing reports took too long to generate for leadership meetings Additionally, training resources were generic and not role specific Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C065977,1,"my tickets stayed open for weeks without clear updates Additionally, integrations with other tools were limited and brittle it took weeks before we were confident with the basics Additionally, account migration from our old system had errors Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C083233,1,"sync jobs failed randomly and required manual reruns Additionally, training resources were generic and not role specific we used only a small subset of the product capabilities Additionally, friends recommended another tool with simpler workflows Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C054753,No,"reports took too long to generate for leadership meetings Additionally, mobile experience was unreliable and often crashed a competitor offered better analytics and clean dashboards Additionally, training resources were generic and not role specific Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C046455,1,"they had a more flexible contract and transparent billing Additionally, downtimes happened right before our deliverables pricing felt too high for the features I actually used Additionally, friends recommended another tool with simpler workflows Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
XC021177,1,"I needed proactive guidance but only received scripted replies Additionally, support response times were slow during critical issues training resources were generic and not role specific Additionally, friends recommended another tool with simpler workflows we got a bundled offer that included priority support Additionally, mobile experience was unreliable and often crashed Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C055251,1,"handoffs between agents made me repeat the same details Additionally, initial setup was complicated and poorly documented they had a more flexible contract and transparent billing Additionally, sync jobs failed randomly and required manual reruns initial setup was complicated and poorly documented Additionally, sync jobs failed randomly and required manual reruns Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
XC086296,1,"the ROI for our team was unclear and hard to measure Additionally, the value for money did not feel right after the first few months discounts were inconsistent and the renewal price surprised me Additionally, account migration from our old system had errors Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C000023,1,"sync jobs failed randomly and required manual reruns Additionally, we could not secure budget for the next cycle friends recommended another tool with simpler workflows Additionally, we got a bundled offer that included priority support Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C003143,1,"I needed proactive guidance but only received scripted replies Additionally, integrations with other tools were limited and brittle it took weeks before we were confident with the basics Additionally, it took weeks before we were confident with the basics Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C061481,1,"  reports took too long to generate for leadership meetings Additionally, we used only a small subset of the product capabilities key features were missing for my workflow and team Additionally, integrations with other tools were limited and brittle Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay. 😕   "
C086134,1,"page load times increased significantly during peak hours Additionally, the ROI for our team was unclear and hard to measure discounts were inconsistent and the renewal price surprised me Additionally, integrations with other tools were limited and brittle training resources were generic and not role specific Additionally, the interface felt cluttered and confusing for new users Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C073151,0,"reports took too long to generate for leadership meetings Additionally, key features were missing for my workflow and team handoffs between agents made me repeat the same details Additionally, page load times increased significantly during peak hours Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C055084,0,"  it took weeks before we were confident with the basics Additionally, I needed proactive guidance but only received scripted replies a competitor offered better analytics and clean dashboards Additionally, page load times increased significantly during peak hours Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay. 😕   "
C041327,No,"sync jobs failed randomly and required manual reruns Additionally, mobile experience was unreliable and often crashed they had a more flexible contract and transparent billing Additionally, training resources were generic and not role specific pricing felt too high for the features I actually used Additionally, discounts were inconsistent and the renewal price surprised me Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C078484,0,"integrations with other tools were limited and brittle Additionally, the interface felt cluttered and confusing for new users they had a more flexible contract and transparent billing Additionally, account migration from our old system had errors handoffs between agents made me repeat the same details Additionally, the value for money did not feel right after the first few months Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C020732,1,"page load times increased significantly during peak hours Additionally, handoffs between agents made me repeat the same details it took weeks before we were confident with the basics Additionally, reports took too long to generate for leadership meetings Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C002815,1,"page load times increased significantly during peak hours Additionally, page load times increased significantly during peak hours a competitor offered better analytics and clean dashboards Additionally, integrations with other tools were limited and brittle Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C074738,0,"account migration from our old system had errors Additionally, initial setup was complicated and poorly documented we used only a small subset of the product capabilities Additionally, training resources were generic and not role specific the value for money did not feel right after the first few months Additionally, sync jobs failed randomly and required manual reruns Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C061539,0,"the ROI for our team was unclear and hard to measure Additionally, the value for money did not feel right after the first few months sync jobs failed randomly and required manual reruns Additionally, we got a bundled offer that included priority support Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C090827,1,"reports took too long to generate for leadership meetings Additionally, pricing felt too high for the features I actually used account migration from our old system had errors Additionally, a competitor offered better analytics and clean dashboards we used only a small subset of the product capabilities Additionally, the interface felt cluttered and confusing for new users Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C027017,1,"they had a more flexible contract and transparent billing Additionally, downtimes happened right before our deliverables account migration from our old system had errors Additionally, after piloting, the outcomes did not justify the cost Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C004209,1,"training resources were generic and not role specific Additionally, handoffs between agents made me repeat the same details discounts were inconsistent and the renewal price surprised me Additionally, my tickets stayed open for weeks without clear updates my tickets stayed open for weeks without clear updates Additionally, discounts were inconsistent and the renewal price surprised me Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C082346,0,"we got a bundled offer that included priority support Additionally, it took weeks before we were confident with the basics competitors offered a similar plan at a lower monthly rate Additionally, we could not secure budget for the next cycle Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C084420,1,"they had a more flexible contract and transparent billing Additionally, pricing felt too high for the features I actually used sync jobs failed randomly and required manual reruns Additionally, after piloting, the outcomes did not justify the cost Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C000744,1,"account migration from our old system had errors Additionally, initial setup was complicated and poorly documented handoffs between agents made me repeat the same details Additionally, mobile experience was unreliable and often crashed Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
XC011848,1,"discounts were inconsistent and the renewal price surprised me Additionally, competitors offered a similar plan at a lower monthly rate a competitor offered better analytics and clean dashboards Additionally, after piloting, the outcomes did not justify the cost sync jobs failed randomly and required manual reruns Additionally, the ROI for our team was unclear and hard to measure Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C040499,Yes,"handoffs between agents made me repeat the same details Additionally, integrations with other tools were limited and brittle page load times increased significantly during peak hours Additionally, pricing felt too high for the features I actually used we could not secure budget for the next cycle Additionally, we used only a small subset of the product capabilities Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C042016,0,"pricing felt too high for the features I actually used Additionally, training resources were generic and not role specific the ROI for our team was unclear and hard to measure Additionally, I needed proactive guidance but only received scripted replies downtimes happened right before our deliverables Additionally, key features were missing for my workflow and team Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C087656,1,N/A
C010513,1,"the interface felt cluttered and confusing for new users Additionally, after piloting, the outcomes did not justify the cost training resources were generic and not role specific Additionally, I needed proactive guidance but only received scripted replies Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C005310,0,"it took weeks before we were confident with the basics Additionally, support response times were slow during critical issues key features were missing for my workflow and team Additionally, account migration from our old system had errors Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C002879,1,it took weeks
C049931,0,"pricing felt too high for the features I actually used Additionally, we used only a small subset of the product capabilities key features were missing for my workflow and team Additionally, downtimes happened right before our deliverables Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C020868,1,the interface felt cluttered and
C073897,1,"integrations with other tools were limited and brittle Additionally, initial setup was complicated and poorly documented friends recommended another tool with simpler workflows Additionally, after piloting, the outcomes did not justify the cost Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C068426,1,"the value for money did not feel right after the first few months Additionally, the interface felt cluttered and confusing for new users we used only a small subset of the product capabilities Additionally, downtimes happened right before our deliverables Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C011239,1,"my tickets stayed open for weeks without clear updates Additionally, a competitor offered better analytics and clean dashboards sync jobs failed randomly and required manual reruns Additionally, competitors offered a similar plan at a lower monthly rate Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C006180,1,"I needed proactive guidance but only received scripted replies Additionally, the interface felt cluttered and confusing for new users sync jobs failed randomly and required manual reruns Additionally, page load times increased significantly during peak hours Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C044449,1,"handoffs between agents made me repeat the same details Additionally, the interface felt cluttered and confusing for new users reports took too long to generate for leadership meetings Additionally, the ROI for our team was unclear and hard to measure mobile experience was unreliable and often crashed Additionally, the value for money did not feel right after the first few months Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C002227,1,"training resources were generic and not role specific Additionally, the ROI for our team was unclear and hard to measure integrations with other tools were limited and brittle Additionally, we got a bundled offer that included priority support I needed proactive guidance but only received scripted replies Additionally, we could not secure budget for the next cycle Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C045364,1,"  friends recommended another tool with simpler workflows Additionally, pricing felt too high for the features I actually used we could not secure budget for the next cycle Additionally, initial setup was complicated and poorly documented Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay. 😕   "
C093407,1,"<p>my tickets stayed open for weeks without clear updates Additionally, key features were missing for my workflow and team the interface felt cluttered and confusing for new users Additionally, we got a bundled offer that included priority support Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay.</p>"
C090686,1,"<p>account migration from our old system had errors Additionally, the value for money did not feel right after the first few months my tickets stayed open for weeks without clear updates Additionally, I needed proactive guidance but only received scripted replies pricing felt too high for the features I actually used Additionally, training resources were generic and not role specific Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay.</p>"
C010759,1,pricing
C017345,1,"a competitor offered better analytics and clean dashboards Additionally, integrations with other tools were limited and brittle handoffs between agents made me repeat the same details Additionally, after piloting, the outcomes did not justify the cost account migration from our old system had errors Additionally, training resources were generic and not role specific Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C015540,1,"competitors offered a similar plan at a lower monthly rate Additionally, training resources were generic and not role specific they had a more flexible contract and transparent billing Additionally, we could not secure budget for the next cycle Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C032111,0,"sync jobs failed randomly and required manual reruns Additionally, training resources were generic and not role specific handoffs between agents made me repeat the same details Additionally, the value for money did not feel right after the first few months Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C040049,Yes,"discounts were inconsistent and the renewal price surprised me Additionally, handoffs between agents made me repeat the same details page load times increased significantly during peak hours Additionally, training resources were generic and not role specific after piloting, the outcomes did not justify the cost Additionally, handoffs between agents made me repeat the same details Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C058674,1,"initial setup was complicated and poorly documented Additionally, friends recommended another tool with simpler workflows the ROI for our team was unclear and hard to measure Additionally, sync jobs failed randomly and required manual reruns Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C092860,1,"I needed proactive guidance but only received scripted replies Additionally, the value for money did not feel right after the first few months we used only a small subset of the product capabilities Additionally, account migration from our old system had errors Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C023381,1,"they had a more flexible contract and transparent billing Additionally, the value for money did not feel right after the first few months reports took too long to generate for leadership meetings Additionally, initial setup was complicated and poorly documented Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C065123,1,"page load times increased significantly during peak hours Additionally, my tickets stayed open for weeks without clear updates training resources were generic and not role specific Additionally, it took weeks before we were confident with the basics Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C017851,0,"sync jobs failed randomly and required manual reruns Additionally, we used only a small subset of the product capabilities integrations with other tools were limited and brittle Additionally, mobile experience was unreliable and often crashed discounts were inconsistent and the renewal price surprised me Additionally, they had a more flexible contract and transparent billing Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C044996,0,"after piloting, the outcomes did not justify the cost Additionally, key features were missing for my workflow and team friends recommended another tool with simpler workflows Additionally, training resources were generic and not role specific handoffs between agents made me repeat the same details Additionally, the ROI for our team was unclear and hard to measure Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C093879,1,"downtimes happened right before our deliverables Additionally, reports took too long to generate for leadership meetings the interface felt cluttered and confusing for new users Additionally, handoffs between agents made me repeat the same details the value for money did not feel right after the first few months Additionally, I needed proactive guidance but only received scripted replies Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C043536,1,"training resources were generic and not role specific Additionally, initial setup was complicated and poorly documented a competitor offered better analytics and clean dashboards Additionally, initial setup was complicated and poorly documented Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C060012,1,"they had a more flexible contract and transparent billing Additionally, a competitor offered better analytics and clean dashboards the ROI for our team was unclear and hard to measure Additionally, integrations with other tools were limited and brittle Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C041013,1,"I needed proactive guidance but only received scripted replies Additionally, a competitor offered better analytics and clean dashboards we got a bundled offer that included priority support Additionally, training resources were generic and not role specific after piloting, the outcomes did not justify the cost Additionally, handoffs between agents made me repeat the same details Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C053452,1,"we could not secure budget for the next cycle Additionally, we could not secure budget for the next cycle sync jobs failed randomly and required manual reruns Additionally, friends recommended another tool with simpler workflows Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C031832,Yes,"it took weeks before we were confident with the basics Additionally, downtimes happened right before our deliverables we got a bundled offer that included priority support Additionally, reports took too long to generate for leadership meetings handoffs between agents made me repeat the same details Additionally, reports took too long to generate for leadership meetings Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C056982,1,we could not secure budget for the
C061981,No,"the ROI for our team was unclear and hard to measure Additionally, reports took too long to generate for leadership meetings friends recommended another tool with simpler workflows Additionally, it took weeks before we were confident with the basics Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C004389,0,"they had a more flexible contract and transparent billing Additionally, we used only a small subset of the product capabilities the interface felt cluttered and confusing for new users Additionally, the ROI for our team was unclear and hard to measure Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C022751,0,"my tickets stayed open for weeks without clear updates Additionally, the value for money did not feel right after the first few months initial setup was complicated and poorly documented Additionally, support response times were slow during critical issues integrations with other tools were limited and brittle Additionally, key features were missing for my workflow and team Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C090386,0,"we could not secure budget for the next cycle Additionally, key features were missing for my workflow and team initial setup was complicated and poorly documented Additionally, friends recommended another tool with simpler workflows reports took too long to generate for leadership meetings Additionally, it took weeks before we were confident with the basics Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C024550,0,"mobile experience was unreliable and often crashed Additionally, integrations with other tools were limited and brittle we used only a small subset of the product capabilities Additionally, it took weeks before we were confident with the basics discounts were inconsistent and the renewal price surprised me Additionally, handoffs between agents made me repeat the same details Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C059317,1,"handoffs between agents made me repeat the same details Additionally, we could not secure budget for the next cycle reports took too long to generate for leadership meetings Additionally, the interface felt cluttered and confusing for new users Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C073047,1,"competitors offered a similar plan at a lower monthly rate Additionally, my tickets stayed open for weeks without clear updates my tickets stayed open for weeks without clear updates Additionally, downtimes happened right before our deliverables Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C084248,0,"integrations with other tools were limited and brittle Additionally, my tickets stayed open for weeks without clear updates discounts were inconsistent and the renewal price surprised me Additionally, we used only a small subset of the product capabilities after piloting, the outcomes did not justify the cost Additionally, reports took too long to generate for leadership meetings Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C024604,0,"competitors offered a similar plan at a lower monthly rate Additionally, handoffs between agents made me repeat the same details friends recommended another tool with simpler workflows Additionally, downtimes happened right before our deliverables Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C056530,1,"competitors offered a similar plan at a lower monthly rate Additionally, the value for money did not feel right after the first few months integrations with other tools were limited and brittle Additionally, we used only a small subset of the product capabilities after piloting, the outcomes did not justify the cost Additionally, the value for money did not feel right after the first few months Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C005547,1,"mobile experience was unreliable and often crashed Additionally, page load times increased significantly during peak hours sync jobs failed randomly and required manual reruns Additionally, pricing felt too high for the features I actually used account migration from our old system had errors Additionally, we got a bundled offer that included priority support Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C069308,1,"my tickets stayed open for weeks without clear updates Additionally, they had a more flexible contract and transparent billing key features were missing for my workflow and team Additionally, page load times increased significantly during peak hours Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C006176,1,"friends recommended another tool with simpler workflows Additionally, the interface felt cluttered and confusing for new users account migration from our old system had errors Additionally, we got a bundled offer that included priority support Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C002635,Yes,"downtimes happened right before our deliverables Additionally, the ROI for our team was unclear and hard to measure mobile experience was unreliable and often crashed Additionally, the ROI for our team was unclear and hard to measure Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C004927,1,"we got a bundled offer that included priority support Additionally, discounts were inconsistent and the renewal price surprised me my tickets stayed open for weeks without clear updates Additionally, discounts were inconsistent and the renewal price surprised me downtimes happened right before our deliverables Additionally, sync jobs failed randomly and required manual reruns Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C071118,1,"the interface felt cluttered and confusing for new users Additionally, we used only a small subset of the product capabilities I needed proactive guidance but only received scripted replies Additionally, sync jobs failed randomly and required manual reruns pricing felt too high for the features I actually used Additionally, sync jobs failed randomly and required manual reruns Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C016384,1,"we got a bundled offer that included priority support Additionally, support response times were slow during critical issues pricing felt too high for the features I actually used Additionally, the value for money did not feel right after the first few months we could not secure budget for the next cycle Additionally, the ROI for our team was unclear and hard to measure Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C040575,1,the ROI for our team
C037519,1,"the value for money did not feel right after the first few months Additionally, the value for money did not feel right after the first few months initial setup was complicated and poorly documented Additionally, account migration from our old system had errors a competitor offered better analytics and clean dashboards Additionally, my tickets stayed open for weeks without clear updates Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C022983,0,"  friends recommended another tool with simpler workflows Additionally, we used only a small subset of the product capabilities key features were missing for my workflow and team Additionally, support response times were slow during critical issues Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay. 😕   "
