Customer_ID,Age,Gender,Region,Tenure_Months,Subscription_Type,Monthly_Spend,Support_Tickets,Churn_Flag,Signup_Date
C000183,40,Female,Ctr,87,Standard,37.6,2,0,28-09-2021
C000184,36,Prefer not to say,East,114,Standard,18.6,1,1,25-09-2023
C000185,24,Male,Central,119,Standard,37.42,1,,08-12-2024
C000186,39,Female,North,69,Basic,17.96,2,0,27-07-2022
C000187,49,Male,North,14,Enterprise,246.87,2,0,29-10-2019
C000188,26,Male,West,31,Premium,79.05,1,Yes,05-05-2021
C000189,20,Male,Est,115,Standard,₹31.92,1,0,16-04-2022
C000190,30,F,North,38,Basic,₹5.43,0,0,25-12-2023
C000191,52,Female,   West ,51,Basic,₹13.35,1,0,05-10-2023
C000192,30, fem ,West,63,Basic,14.02,2,0,01-26-2024
C000193,18,Female,Est,4,Basic,12.82,2,0,25-10-2021
C000194,31,Female,South,105, pro ,15.96,1,0,02-02-2020
C000195,47,Female,Central,108,Premium,42.49,0,0,09-04-2019
C000196,39,Female, South  ,62,Standard,₹20.06,3,0,06-04-2021
C000197,43,Female, CENTRAL  ,117,Premium,46.33,1,Yes,30-01-2020
C000198,42,Male,North,108,Premium,75.08,1,0,23-02-2020
C000199,47,Male,Est,68,standard,37.61,1,1,12-11-2019
C000200,41,Female,West,61,Enterprise,178.44,1,0,08-05-2023
C201 ,21,Female,South,111,Standard,37.61,1,0,12-10-2022
C000202,26,Male,East,18,Premium,96.1,0,0,20-04-2021
C000203,36,Female,South,98,Standard,22.68,1,0,11-09-2019
C000204,35,Female,West,55,Premium,36.59,0,No,18-05-2025
C000205,21,Male,South,97,Standard,38.71,1,0,20-02-2022
C000206,32,Male,North,59,Basic,8.18,1,0,27-09-2020
C000207,40, Male  ,North,46,Basic,7.21,1,0,20-04-2019
C000208,18,Male,Ctr,81,Basic,19.7,0,0,15-11-2022
C000209,31,Male,South,16,Standard,30.05,2,0,02-07-2019
C000210,25,Male,East,41,Premium,50.51,0,No,24-10-2019
C000211,30,Female,East,27,Premium,78.52,3,1,30-04-2021
C212 ,43,FEMALE,   West ,50,Basic,18.4,0,0,14-08-2022
C000213,37, fem ,North,65,Basic,14.09,0,1,12-08-2021
C000214,36,Male,Central,66,entry,14.6,3,0,12-10-2019
C000215,37, m ,North,87,Standard,22.19,3,1,10-04-2020
C000216,48,Male,North,20,Premium,99.1,2,0,20-03-2019
C000217,44,Male,East,1,Standard,₹37.80,1,No,12-02-2022
C000218,41,Female,East,17,Basic,18.69,1,0,28-05-2019
C219 ,36,Male,Central,76,Premium,40.57,2,No,08-01-2022
C000220,40,FEMALE,North  ,60,premium,43.37,0,0,11-01-2019
C000221,34,Male,CENTRAL,105,mid,21.77,0,1,10-07-2023
C000222,43,Male, EAST  ,47,starter,17.89,3,0,12-08-2021
C000223,34,female,North,94,Standard,21.55,1,0,27-04-2021
C000224,31,F,North,80,Basic,10.19,2,0,27-12-2020
C000225,47,Female,South,92,Standard,32.91,0,Yes,09-11-2022
C000226,38,Female,South,114,Standard,21.94,0,0,11-08-2023
C000227,38,F,South,20,Basic,9.58,2,1,05-11-2021
C000228,33,Male,East,8,basic,8.79,1,0,08-04-2019
C000229,19,Female,East,72,PRM,46.04,0,Yes,16-10-2019
C000230,27,Female,West,84,Standard,34.08,1,0,03-03-2021
C000231,30, m ,North,1,Basic,19.36,0,0,06-09-2024
C000232,40,Male,West,66,Standard,₹16.05,1,0,23-05-2023
C000233,46,Male,Central,6,Basic,10.75,0,0,28-08-2023
C000234,28,Female,North,108,Basic,16.01,3,0,25-10-2022
C000235,37,Male,Central,24,Premium,44.01,1,0,25-08-2021
C000236,19,Male,North,48,Basic,₹10.38,1,0,09-11-2023
C000237,23,Male,West,54,Premium,36.69,1,0,24-08-2024
C000238,45,Male,East,27,Standard,21,2,No,05-06-2019
C000239,30,male,North,25,Premium,46.35,0,0,18-10-2022 00:00
C000240,31,Male,Central,38,Standard,20.71,0,0,19-07-2025
C000241,22,Female,North,97,Enterprise,225.42,1,0,04-08-2025
C000242,53, fem ,East,15, pro ,29.07,0,0,28-09-2024
C000243,35,Female,North,97,Basic,16.49,1,0,02-08-2021
C000244,32,male,West,102,Premium,67.09,3,0,10-01-2019
C000245,32,Female, East  ,77,Premium,85.47,4,0,28-07-2021
C000246,27,Female,East,97,standard,₹24.05,2,0,19-11-2022
C000247,34,Female,Central,27,Premium,42.92,1,1,05-16-2019
C000248,34,Male,North,2, PRM  ,94.76,0,0,10-04-2021
C000249,18,MALE ,North,100,Basic,16.58,0,0,29-07-2021
C000250,33,Female,Central,50,Basic,10.46,0,0,20-09-2020
C000251,35,Non-binary,Central,105,basic,5.13,2,0,06-03-2023
C000252,45,female,South,33,Standard,19.74,0,0,23-10-2021
C000253,22, Female  ,West,66,Standard,21.51,1,0,19-09-2021
C000254,35,Male,CENTRAL,106,Premium,90.28,2,0,27-11-2020
C000255,22,Female,North,27,Standard,18.04,2,0,30-08-2019
C000256,30,Female,Central,117,Standard,22.74,3,1,11-02-2020
C000257,37,Male,North,62, pro ,20.04,1,Yes,12-01-2019
C000258,35,Male,Central,108,STD,19.82,0,0,31-12-2022
C000259,35,MALE ,North,113,Basic,6.42,4,1,29-09-2021
C000260,23,Female,West,23,Enterprise,190.96,0,0,10-02-2020
C000261,32,Male,Central,3,Standard,37.81,3,1,03-12-2019
C000262,25,Female,North,45,Premium,67.11,1,0,02-09-2024
C000263,47,Female,North,18,Standard,15.89,5,1,25-06-2022
C000264,35,Female,Central,99,Standard,20.91,2,0,20-12-2019
C000265,41,MALE ,West,1,BASIC,₹5.19,1,0,07-01-2021
C000266,18,male,North,90,starter,6.64,2,0,22-06-2024
C000267,31,Male,North,75,Standard,35.55,1,0,17-03-2022
C000268,38,Female,East,2,Premium,80.22,2,0,10-08-2020
C000269,39,Female,West,41,Premium,56.65,2,0,19-10-2020
c000270,36,Male,WEST,99,STD,16.58,2,0,02-09-2020
C000271,28,Female,South,56,Basic,19.21,1,0,06-11-2020
C000272,22,Female,North  ,48,Standard,20.82,1,1,12-24-2021
C000273,40,Female,Central,89,Basic,8.74,1,0,21-08-2024
C000274,38,Female,West,78,Premium,80.07,3,0,01-12-2022
C000275,28,Male,South,68,Standard,25.96,6,0,16-06-2022
C000276,37,Non-binary,West,112,Standard,23.06,2,0,31-08-2022
C000277,39,Female,East,29,Premium,80.07,1,1,06-11-2024
C000278,34,Female,North,59,Premium,93.09,2,0,01-11-2021
C279 ,27,Male,North,95,Premium,87.9,0,0,06-12-2023
C000280,50,Female,East,52,Premium,44,2,0,05-11-2024
C000281,28,Female,South,74,Premium,93.71,2,Yes,11-12-2023
C000282,20,Male,NORTH,99,Basic,₹19.75,1,0,25-07-2021
C000283,34,Female,East,81,Enterprise,176.45,0,0,20-07-2021
C000284,43,Male,North,117,Premium,41.71,0,No,29-07-2020
C000285,42,Female,South,40,STD,17.36,1,0,19-11-2023
C000286,23,Female,South,32,Standard,19.87,2,0,18-04-2024
C000287,26,Male,South,103,Standard,18.23,4,1,28-12-2019
C000288,29,Prefer not to say,West,54,Standard,26.33,0,0,25-01-2024
C000289,26,Male,West,94,Premium,42.59,1,0,16-05-2019
C000290,25,Female, East  ,88,Basic,17.48,1,0,15-06-2024
C000291,34,Female,North,47,Basic,₹10.11,1,0,14-03-2025
C000292,47,Female,West,61,Standard,34.18,1,0,06-02-2025
C000293,23,Female,North,120,Premium,38.61,3,0,07-03-2019
C000294,41,Female,West,73,PRM,86.54,2,,12-13-2021
C000295,43, Female  ,SOUTH,-15,Premium,₹86.53,1,No,22-11-2020
C000296,47,Female,North,64,Basic,12.42,0,0,28-12-2024
C000297,18,Female,Nrt,62,Premium,93.78,1,0,29-06-2024
C000298,35,Non-binary,North,78,Standard,39.46,1,0,27-12-2019
C000299,28,MALE ,North,19,Standard,₹34.30,1,No,16-12-2024
C000300,38,Male,Central,25,Basic,17.87,0,0,20-09-2022
C000301,18,Female, South,108,Basic,9.47,0,Yes,21-04-2019 00:00
C000302,43,Male,Central,92,Enterprise,101.62,1,0,30-05-2022
C000303,41,Male,North,91,gold,73.94,3,0,22-05-2020
C000304,21,Female,Central,102,Standard,31.62,0,1,26-11-2021
C000305,49,Female,South,71,Basic,17.17,3,0,25-08-2024
C000306,42,Female, North    ,35,Premium,83.87,1,0,17-11-2019
C000307,34,Male,West,117,Enterprise,187.17,2,0,08-01-2025
C000308,30,Male,North,5,Standard,36.79,2,1,03-10-2022
C000309,38,Female,EAST,98,Basic,17.75,1,0,15-03-2021
C000310,32,Female, SOUTH  ,103,Basic,10.83,0,0,15-08-2019
C000311,27,Male,South,76,Corporate,197.86,0,0,12-02-2024
C000312,29,Female,West,19,mid,32.57,1,No,22-12-2023
C000313,47,Female,Central,120,Basic,10.74,1,No,05-04-2019
C000314,37,Female,East,99,premium,61.91,3,0,10-07-2022
C000315,18,Female,WEST,47,Premium,80.21,0,0,21-07-2019
C000316,42,Male,Central-,67,Premium,51.14,1,0,28-08-2021
C000317,44,Female,Central,118,Premium,37.19,0,0,14-12-2021
C000318,49,F,Central,84,Standard,15.65,0,0,26-09-2023
C000319,20,Male,South,32,Standard,₹39.51,1,0,23-07-2022
C000320,32,Female,South,84,basic,15.83,1,1,13-05-2024
C000321,31,MALE ,East,77,Premium,81.46,3,0,15-11-2024
C000322,53,Female,North,37,Standard,16.76,0,No,13-09-2022
C000323,37,Male,South,60,Basic,15.84,1,0,23-04-2020
C000324,28,Female,Central,44,Premium,90.77,3,0,23-09-2020
C000325,26,Female,North,1,Standard,25.19,2,0,21-06-2023
C000326,30,Male,East,26,Basic,14.2,1,0,09-10-2019
C000327,18,male,South,70,Premium,92.08,1,1,08-10-2022
C000328,44,Male,East,14,Basic,19.74,1,1,14-03-2019
C000329,37,Male,Central,106,Premium,61.7,3,0,01-04-2023
C000330,18,Female,South,18,Premium,43.76,2,No,27-11-2024
C000331,39,Female,Wst,33,Basic,19.66,2,1,01-07-2025
C000332,41,Male,East,58,Enterprise,164.2,0,0,20-06-2024
C000333,37,Female,West,38,entry,11.73,0,0,04-01-2019
C000334,35,Male,Est,119,Enterprise,106.26,1,0,31-12-2020
C000335,44,Female,Central,83,Standard,27.7,1,0,22-03-2022
C000336,22,Male,West,76,Standard,31.9,1,0,23-08-2022
C000337,48,Female,North,101,Standard,₹21.51,2,0,13-09-2024
C000338,43,M,East,96,Standard,20.3,0,0,05-07-2020
C000339,18,F,North,110,PRM,60.39,1,Yes,31-07-2024
C000340,29,Female,East,10,Standard,18.71,0,0,23-01-2023
C000341,33,Female,Central,96,BASIC,5.96,0,1,30-01-2019
C000342,25,Female,EAST,88,Standard,34.57,3,0,29-07-2019
C000343,20,Male,North,19,Premium,50.4,0,Yes,27-08-2023
C000344,20,Male,Central,64,Basic,8.29,0,No,15-05-2021
C000345,39,Female,South,88,Standard,₹28.77,0,0,12-01-2019
C000346,19,Male,Central,48,Standard,31.84,1,0,10-01-2021
C000347,123,Male,East,15,Premium,45.35,0,0,18-02-2021
C000348,18,Male,North,37, pro ,23.35,1,0,30-03-2024
C000349,27,Non-binary,South,50,Standard,30.29,1,1,01-08-2022
C000350,26,Female,Ctr,47,Premium,50.16,1,1,16-06-2025
C000351,31,Female,South,21,Basic,17.68,0,0,29-11-2024
C000352,33,Male,South,38,Premium,77.27,2,0,09-16-2021
C000353,24,Female,North,22,Standard,35.12,1,1,18-01-2021
C000354,40,Female,North,88,Standard,37.27,1,0,03-04-2025
C000355,37,Female,East,27,Standard,35.21,0,0,01-23-2020
C000356,34,Male,   West ,58,Premium,₹99.38,1,0,01-02-2022
C000357,25,Male,SOUTH,58,Standard,32.47,4,0,01-11-2022
C000358,33,Female,East,109,Premium,₹90.53,0,0,15-12-2021
C000359,21,Male,North,61,enterprise,120.4,3,0,21-10-2019
C000360,18,Female, South,113,Standard,26.52,0,0,26-10-2020
C000361,28,Female,North,17,mid,21.59,0,0,18-10-2023
C000362,42,MALE ,South,114,Basic,10.42,1,No,15-04-2023
C000363,46,MALE ,South,85,Standard,34.45,3,0,08-24-2023
C000364,32,Male,South,44,Premium,48.47,1,0,05-02-2021
C000365,36,Female,Central,93,Premium,52.56,2,0,09-07-2020
C000366,26,null,South,113,Basic,8.07,4,1,22-04-2021
C000367,20,Female, South,116,Basic,10.9,0,1,04-05-2020
C000368,60,male,North,76,Standard,21.52,1,No,09-08-2025
C000369,21,Male,Wst,10,Standard,30.35,4,0,12-12-2020
C000370,43,Female,South,86,Standard,17.78,0,1,06-07-2023
C000371,43,Female,West,24,Premium,69.04,1,0,07-05-2024
C000372,30,Female,NORTH,101,Basic,16.88,1,No,10-03-2024
C000373,22,Male,South,89,Basic,19.8,1,0,30-07-2023
C000374,18,Female,EAST,93,Standard,19.16,1,1,19-07-2024
C000375,38,Non-binary,Central,15,Basic,11.93,0,0,26-02-2020
C000376,25,Male,Central,9,Standard,21.94,1,0,12-04-2023
C000377,44,Male,CENTRAL,13,starter,13.38,0,0,09-06-2022
C000378,38,Female,East,76,mid,34.72,3,0,14-02-2021
C000379,35,Female,North,15,Basic,16.66,1,0,10-01-2019
C000380,38,male,East,3,Premium,₹55.74,3,0,16-02-2019
C000381,25, fem ,Central,107,Basic,16.53,1,0,31-05-2022
C000382,40,Male,North,94,Premium,84.42,4,0,12-05-2020
C000383,18,Male,North  ,69,Standard,₹23.40,1,0,04-05-2023
C000384,37,Female,East,49,Basic,19.71,3,0,12-07-2021
C000385,36,Female,North,16,Basic,₹19.06,2,No,30-08-2020
C000386,60,Male,Wst,43,Standard,29.22,1,0,28-05-2019
C000387,46,male,West,36,Premium,94.53,2,0,13-01-2024
C000388,25,Male,East,52,Basic,13.86,3,Yes,25-05-2022
C000389,45,Male,North,63,Basic,11.39,2,0,14-03-2019
C000390,39,Male,West,101,standard,₹21.92,1,1,19-01-2024
C000391,36,Female,West,11,Standard,21.62,0,1,10-15-2022
C000392,27,Female,South,93,Basic,9.81,3,0,10-03-2021
C000393,49,Male,Central,93,Premium,35.22,1,0,29-04-2024
C000394,34,Female,North,59,Basic,₹7.68,0,0,24-08-2022
C000395,29,M,West,29, Standard  ,34.32,1,0,01-02-2024
C000396,31,Male,North,106,Basic,16.76,0,0,09-03-2025
C000397,24, Female  ,East,93,Premium,91.33,0,0,13-07-2023 00:00
C000398,26,Male,West,89,Basic,₹9.28,0,1,09-08-2025
C000399,18,Male,Central,116,Premium,82.65,2,0,25-07-2023
C000400,60,Male,East,89,Premium,93.43,2,0,27-07-2019
C000401,21,Female,East,19,Basic,8.5,3,0,20-03-2023
C000402,35,Non-binary,Central,108,Standard,₹39.06,1,0,21-06-2024
C000403,33,female,West,63,Premium,83.6,1,0,05-11-2024
C000404,45,Female,East,20,Standard,30.91,1,0,20-05-2020
C000405,49,Female,West,36,Standard,30.32,1,Yes,01-11-2024
c000406,36,Female,Ctr,28,Standard,22.88,1,0,22-08-2021
C000407,27,Male,Central,111,Standard,38.52,1,0,11-01-2021
C000408,37, m ,East,14,Basic,9.86,2,0,06-04-2021
C000409,27,Female,North,38,Basic,13.7,2,Yes,06-05-2022
C000410,24,Female,North,9,Basic,9.41,0,0,20-01-2022
C000411,28,Female,West,108,Basic,10.68,2,0,01-08-2020
C000412,40,Male,North,51,Standard,31.57,0,0,10-03-2020
C000413,49,Female,South,24,Standard,20.67,1,0,30-01-2024
C000414,52,Female,North,53,standard,30.89,0,0,21-05-2025
C000415,44,Female,Central,55,Premium,51.49,1,0,08-06-2022
C000416,32,male,South,70,basic,19.96,3,1,05-06-2023
C000417,25,Female,WEST,16,Premium,91.59,0,0,16-04-2024
C000418,40,Female,West,120,Basic,7.14,2,0,15-07-2021
